1144951035,1525013640,DP0GVN,IB59uh,-9,14.097183,ZL1RS,GF84,10,0,4414,163,14,,0
1144962394,1525014840,DP0GVN,IB59uh,-13,14.097183,ZL1RS,GF85,10,0,4520,163,14,,0
1144974129,1525016040,DP0GVN,IB59uh,-10,14.097183,ZL1RS,GF85,10,0,4520,163,14,,0
1144986541,1525017240,DP0GVN,IB59uh,-7,14.097183,ZL1RS,GF85,10,0,4520,163,14,,0
1144991842,1525017840,DP0GVN,IB59uh,-10,14.097183,ZL1RS,GF86,10,0,4627,164,14,,0
1144997882,1525018440,DP0GVN,IB59uh,-10,14.097182,ZL1RS,GF86,10,0,4627,164,14,,0
1145004081,1525019040,DP0GVN,IB59uh,-31,14.097183,ZL1RS,GF96,10,0,4575,164,14,,0
1145010260,1525019640,DP0GVN,IB59uh,-19,14.097183,ZL1RS,GF96,10,0,4575,164,14,,0
1145018245,1525020240,DP0GVN,IB59uh,-11,14.097182,ZL1RS,GF96,10,1,4575,164,14,,0
1145025865,1525020840,DP0GVN,IB59uh,-15,14.097183,ZL1RS,GF96,10,0,4575,164,14,,0
1145032344,1525021440,DP0GVN,IB59uh,-9,14.097182,ZL1RS,GF97,10,1,4682,165,14,,0
1145039919,1525022040,DP0GVN,IB59uh,-12,14.097182,ZL1RS,GF97,10,0,4682,165,14,,0
1145046701,1525022640,DP0GVN,IB59uh,-31,14.097181,ZL1RS,GF97,10,0,4682,165,14,,0
1145053282,1525023240,DP0GVN,IB59uh,-21,14.097183,ZL1RS,GF97,10,-1,4682,165,14,,0
1145060129,1525023840,DP0GVN,IB59uh,-20,14.097182,ZL1RS,GF97,10,0,4682,165,14,,0
1145951650,1525106760,ZL2APV,RF70bw,-18,7.040095,G4VVP,IO81rg,33,0,18633,12,7,1.8.0-rc2,0
1145973272,1525108680,ZL2APV,RF70bw,-25,7.040162,G4CPD,IO94hc,37,-1,18308,13,7,1.8.0-rc2,0
1145989245,1525110120,ZL2APV,RF70bw,-25,7.040161,G4CPD,IO94hc,37,0,18308,13,7,1.8.0-rc2,0
1145994182,1525110600,ZL2APV,RF70bw,-23,7.040162,G4CPD,IO94hc,37,-1,18308,13,7,1.8.0-rc2,0
1145999249,1525111080,ZL2APV,RF70bw,-22,7.040162,G4CPD,IO94hc,37,0,18308,13,7,1.8.0-rc2,0
1145999212,1525111080,ZL2APV,RF70bw,-21,7.040096,G4VVP,IO81rg,33,0,18633,12,7,1.8.0-rc2,0
1146001423,1525111320,ZL2APV,RF70bw,-22,7.040160,G4CPD,IO94hc,37,0,18308,13,7,1.8.0-rc2,0
1146011215,1525112160,ZL2APV,RF70bw,-25,7.040186,G4GCI,IO90gu,37,0,18659,16,7,1.8.0-rc2,0
1146011800,1525112280,ZL2APV,RF70bw,-22,7.040163,G4CPD,IO94hc,37,-1,18308,13,7,1.8.0-rc2,0
1146020132,1525112760,ZL2APV,RF70bw,-22,7.040161,G4CPD,IO94hc,37,-1,18308,13,7,1.8.0-rc2,0
1146019430,1525112760,ZL2APV,RF70bw,-21,7.040100,G4MSA,IO90au,37,0,18669,15,7,1.8.0-rc2,0
1146028426,1525113240,ZL2APV,RF70bw,-21,7.040161,G4CPD,IO94hc,37,-1,18308,13,7,1.8.0-rc2,0
1146033776,1525113720,ZL2APV,RF70bw,-22,7.040161,G4CPD,IO94hc,37,-1,18308,13,7,1.8.0-rc2,0
1146037981,1525114200,ZL2APV,RF70bw,-22,7.040161,G4CPD,IO94hc,37,0,18308,13,7,1.8.0-rc2,0
1146043075,1525114680,ZL2APV,RF70bw,-23,7.040162,G4CPD,IO94hc,37,-1,18308,13,7,1.8.0-rc2,0
1146043054,1525114680,ZL2APV,RF70bw,-21,7.040096,G4VVP,IO81rg,33,0,18633,12,7,1.8.0-rc2,0
1146046128,1525114920,ZL2APV,RF70bw,-23,7.040161,G4CPD,IO94hc,37,0,18308,13,7,1.8.0-rc2,0
1146050828,1525115400,ZL2APV,RF70bw,-24,7.040162,G4CPD,IO94hc,37,-1,18308,13,7,1.8.0-rc2,0
1146071613,1525117320,ZL2APV,RF70bw,-24,7.040162,G4CPD,IO94hc,37,-1,18308,13,7,1.8.0-rc2,0
1146076641,1525117800,ZL2APV,RF70bw,-24,7.040161,G4CPD,IO94hc,37,-1,18308,13,7,1.8.0-rc2,0
